Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	 Residual	Carbon dioxide CO2	Unit	 Compensation	 Residual	Methane CH4	Unit	 Compensation	 Residual	Nitrous oxide N2O	Unit	 Compensation	 Residual	Ammonia NH3	Unit	 Compensation	 Residual	Carbon monoxide CO	Unit	 Compensation	 Residual	Ambient pressure	Unit	 Compensation	 Residual	Interferometer temperature	Unit	 Compensation	 Residual	Detector temperature	Unit	 Compensation	 Residual	IFG peak height	Unit	 Compensation	 Residual	IFG Center	Unit	 Compensation	 Residual	 Status
0	2023-09-03	08:16:02	C:\CalcmetSamples\20230903\camA_01125.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.17	vol-%	wet	0.0004	406.08	ppm	wet	0.0010	 1.913	ppm	wet	0.0051	0.3131	ppm	wet	0.0001	 0.034	ppm	wet	0.0007	 0.076	ppm	wet	0.0007	989.00	mbar	N/A	0.0000	 41.87	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.35	V	N/A	0.0000	2467.00		N/A	0.0000	OK
0	2023-09-03	08:16:23	C:\CalcmetSamples\20230903\camA_01126.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.18	vol-%	wet	0.0004	410.33	ppm	wet	0.0010	 1.922	ppm	wet	0.0053	0.3067	ppm	wet	0.0001	 0.081	ppm	wet	0.0007	 0.059	ppm	wet	0.0008	989.00	mbar	N/A	0.0000	 41.89	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.33	V	N/A	0.0000	2467.00		N/A	0.0000	OK
0	2023-09-03	08:16:44	C:\CalcmetSamples\20230903\camA_01127.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.18	vol-%	wet	0.0005	421.59	ppm	wet	0.0012	 1.877	ppm	wet	0.0055	0.3109	ppm	wet	0.0002	 0.069	ppm	wet	0.0007	 0.082	ppm	wet	0.0008	989.00	mbar	N/A	0.0000	 41.91	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.33	V	N/A	0.0000	2467.00		N/A	0.0000	OK
0	2023-09-03	08:17:05	C:\CalcmetSamples\20230903\camA_01128.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.19	vol-%	wet	0.0004	435.40	ppm	wet	0.0013	 1.902	ppm	wet	0.0057	0.3090	ppm	wet	0.0001	 0.041	ppm	wet	0.0006	 0.045	ppm	wet	0.0008	989.00	mbar	N/A	0.0000	 41.92	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.33	V	N/A	0.0000	2467.00		N/A	0.0000	OK
0	2023-09-03	08:17:26	C:\CalcmetSamples\20230903\camA_01129.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.21	vol-%	wet	0.0004	450.70	ppm	wet	0.0013	 1.882	ppm	wet	0.0059	0.3090	ppm	wet	0.0001	 0.040	ppm	wet	0.0007	 0.072	ppm	wet	0.0008	989.00	mbar	N/A	0.0000	 41.94	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.31	V	N/A	0.0000	2466.00		N/A	0.0000	OK
0	2023-09-03	08:17:47	C:\CalcmetSamples\20230903\camA_01130.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.22	vol-%	wet	0.0004	466.29	ppm	wet	0.0014	 1.869	ppm	wet	0.0063	0.3126	ppm	wet	0.0002	 0.038	ppm	wet	0.0008	 0.072	ppm	wet	0.0008	989.00	mbar	N/A	0.0000	 41.96	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.29	V	N/A	0.0000	2466.00		N/A	0.0000	OK
0	2023-09-03	08:18:08	C:\CalcmetSamples\20230903\camA_01131.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.23	vol-%	wet	0.0004	480.85	ppm	wet	0.0015	 1.871	ppm	wet	0.0066	0.3070	ppm	wet	0.0002	 0.080	ppm	wet	0.0007	 0.061	ppm	wet	0.0008	989.00	mbar	N/A	0.0000	 41.96	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.29	V	N/A	0.0000	2464.00		N/A	0.0000	OK
0	2023-09-03	08:18:29	C:\CalcmetSamples\20230903\camA_01132.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.25	vol-%	wet	0.0005	495.88	ppm	wet	0.0016	 1.833	ppm	wet	0.0069	0.3133	ppm	wet	0.0001	 0.024	ppm	wet	0.0006	 0.047	ppm	wet	0.0008	989.00	mbar	N/A	0.0000	 41.98	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.29	V	N/A	0.0000	2464.00		N/A	0.0000	OK
0	2023-09-03	08:18:50	C:\CalcmetSamples\20230903\camA_01133.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.26	vol-%	wet	0.0005	509.20	ppm	wet	0.0017	 1.835	ppm	wet	0.0072	0.3124	ppm	wet	0.0001	 0.060	ppm	wet	0.0008	 0.043	ppm	wet	0.0008	989.00	mbar	N/A	0.0000	 41.99	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.27	V	N/A	0.0000	2464.00		N/A	0.0000	OK
0	2023-09-03	08:19:11	C:\CalcmetSamples\20230903\camA_01134.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.28	vol-%	wet	0.0004	525.06	ppm	wet	0.0018	 1.816	ppm	wet	0.0076	0.3111	ppm	wet	0.0001	 0.063	ppm	wet	0.0007	 0.010	ppm	wet	0.0008	989.00	mbar	N/A	0.0000	 42.01	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.27	V	N/A	0.0000	2463.00		N/A	0.0000	OK
0	2023-09-03	08:19:32	C:\CalcmetSamples\20230903\camA_01135.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.29	vol-%	wet	0.0004	539.67	ppm	wet	0.0020	 1.801	ppm	wet	0.0079	0.3145	ppm	wet	0.0001	 0.045	ppm	wet	0.0008	 0.013	ppm	wet	0.0009	989.00	mbar	N/A	0.0000	 42.02	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.26	V	N/A	0.0000	2464.00		N/A	0.0000	OK
0	2023-09-03	08:19:53	C:\CalcmetSamples\20230903\camA_01136.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.30	vol-%	wet	0.0005	555.26	ppm	wet	0.0021	 1.772	ppm	wet	0.0083	0.3186	ppm	wet	0.0002	 0.048	ppm	wet	0.0007	 0.001	ppm	wet	0.0008	989.00	mbar	N/A	0.0000	 42.04	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.25	V	N/A	0.0000	2464.00		N/A	0.0000	OK
0	2023-09-03	08:20:14	C:\CalcmetSamples\20230903\camA_01137.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.31	vol-%	wet	0.0004	569.21	ppm	wet	0.0021	 1.743	ppm	wet	0.0087	0.3149	ppm	wet	0.0002	 0.041	ppm	wet	0.0007	 0.014	ppm	wet	0.0008	989.00	mbar	N/A	0.0000	 42.06	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.26	V	N/A	0.0000	2462.00		N/A	0.0000	OK
0	2023-09-03	08:20:35	C:\CalcmetSamples\20230903\camA_01138.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.31	vol-%	wet	0.0005	583.70	ppm	wet	0.0023	 1.729	ppm	wet	0.0091	0.3124	ppm	wet	0.0002	 0.026	ppm	wet	0.0007	 0.012	ppm	wet	0.0009	989.00	mbar	N/A	0.0000	 42.07	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.25	V	N/A	0.0000	2462.00		N/A	0.0000	OK
0	2023-09-03	08:20:56	C:\CalcmetSamples\20230903\camA_01139.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.31	vol-%	wet	0.0004	597.21	ppm	wet	0.0024	 1.736	ppm	wet	0.0094	0.3095	ppm	wet	0.0002	 0.013	ppm	wet	0.0007	 0.000	ppm	wet	0.0008	989.00	mbar	N/A	0.0000	 42.08	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.23	V	N/A	0.0000	2460.00		N/A	0.0000	OK
0	2023-09-03	08:21:17	C:\CalcmetSamples\20230903\camA_01140.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.31	vol-%	wet	0.0010	612.16	ppm	wet	0.0026	 1.679	ppm	wet	0.0099	0.3233	ppm	wet	0.0001	 0.080	ppm	wet	0.0008	 0.000	ppm	wet	0.0010	989.00	mbar	N/A	0.0000	 42.10	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.24	V	N/A	0.0000	2461.00		N/A	0.0000	OK
0	2023-09-03	08:21:38	C:\CalcmetSamples\20230903\camA_01141.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.33	vol-%	wet	0.0011	625.41	ppm	wet	0.0026	 1.684	ppm	wet	0.0104	0.3179	ppm	wet	0.0001	 0.017	ppm	wet	0.0008	 0.000	ppm	wet	0.0011	989.00	mbar	N/A	0.0000	 42.12	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.22	V	N/A	0.0000	2460.00		N/A	0.0000	Warning
0	2023-09-03	08:21:59	C:\CalcmetSamples\20230903\camA_01142.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.34	vol-%	wet	0.0010	638.89	ppm	wet	0.0028	 1.666	ppm	wet	0.0107	0.3174	ppm	wet	0.0001	 0.027	ppm	wet	0.0006	 0.000	ppm	wet	0.0011	989.00	mbar	N/A	0.0000	 42.13	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.22	V	N/A	0.0000	2460.00		N/A	0.0000	Warning
0	2023-09-03	08:22:20	C:\CalcmetSamples\20230903\camA_01143.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.35	vol-%	wet	0.0012	652.42	ppm	wet	0.0028	 1.654	ppm	wet	0.0111	0.3173	ppm	wet	0.0001	 0.052	ppm	wet	0.0007	 0.000	ppm	wet	0.0011	989.00	mbar	N/A	0.0000	 42.15	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.20	V	N/A	0.0000	2460.00		N/A	0.0000	Warning
0	2023-09-03	08:22:41	C:\CalcmetSamples\20230903\camA_01144.SPE	SN23729_GAS-APP-006_c12_20_Rev1.LIB	  0.36	vol-%	wet	0.0011	666.09	ppm	wet	0.0029	 1.645	ppm	wet	0.0115	0.3172	ppm	wet	0.0001	 0.053	ppm	wet	0.0007	 0.000	ppm	wet	0.0011	989.00	mbar	N/A	0.0000	 42.16	°C	N/A	0.0000	 37.06	-°C	N/A	0.0000	  3.22	V	N/A	0.0000	2460.00		N/A	0.0000	Warning
