DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               Amb_P                     CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           N2O                       N2O_30s                   N2O_1min                  N2O_5min                  N2O_dry                   N2O_dry30s                N2O_dry1min               N2O_dry5min               CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       NH3                       ChemDetect                peak_1a                   peak_41                   peak_4                    peak15                    ch4_splinemax             nh3_conc_ave              
2022-08-01                00:04:13.553              212.00293465              5088.070432               213.00293465              1659312253.554            0                         963                       0.0000000000E+00          1.4000025327E+02          4.4999473572E+01          3.2500000000E+01          4.5121940613E+01          4.4998435974E+01          4.7000000000E+01          0.0000000000E+00          3.7977818525E+04          0.0000000000E+00          3.2468211673E-01          3.2137954558E-01          3.2106906642E-01          3.2074089266E-01          3.3247094076E-01          3.2906397694E-01          3.2873880752E-01          3.2837207789E-01          4.0887215810E+02          4.1843111031E+02          2.1630752438E+00          2.2001963959E+00          1.3281079761E+00          1.5440965239E+00          0.0000000000E+00          6.6391165149E-01          5.5259464552E+01          1.5185117174E+00          7.8168164047E+01          4.9506069399E+02          1.5879541618E+00          
2022-08-01                00:04:14.309              212.00294340              5088.070642               213.00294340              1659312254.310            0                         963                       0.0000000000E+00          1.4000025327E+02          4.4999473572E+01          3.2500000000E+01          4.5121940613E+01          4.4998435974E+01          4.7000000000E+01          0.0000000000E+00          3.7977818525E+04          0.0000000000E+00          3.2469404841E-01          3.2144566565E-01          3.2111495227E-01          3.2073768175E-01          3.3248919665E-01          3.2913278603E-01          3.2878628080E-01          3.2836899011E-01          4.0878893071E+02          4.1835339068E+02          2.1426883804E+00          2.1794880701E+00          1.3291195527E+00          1.5199861833E+00          0.0000000000E+00          6.6391165149E-01          5.5259464552E+01          1.5185117174E+00          7.8168164047E+01          4.9506069399E+02          1.5879541618E+00          
2022-08-01                00:04:14.759              212.00294860              5088.070766               213.00294860              1659312254.759            0                         963                       0.0000000000E+00          1.4000352478E+02          4.4999473572E+01          3.2500000000E+01          4.5121940613E+01          4.4998435974E+01          2.5000000000E+01          0.0000000000E+00          3.7980042969E+04          0.0000000000E+00          3.2477131388E-01          3.2151390277E-01          3.2111550996E-01          3.2073390486E-01          3.3257189252E-01          3.2920393896E-01          3.2878798270E-01          3.2836531863E-01          4.0873950054E+02          4.1830723054E+02          2.1305803073E+00          2.1671888204E+00          1.3297203708E+00          1.5056673379E+00          0.0000000000E+00          6.6391165149E-01          5.5259464552E+01          1.5185117174E+00          7.8168164047E+01          4.6345122524E+02          1.5879541618E+00          
2022-08-01                00:04:15.901              212.00296182              5088.071084               213.00296182              1659312255.901            0                         963                       0.0000000000E+00          1.4000189416E+02          4.4999412537E+01          3.2540405569E+01          4.5122032166E+01          4.4998527527E+01          4.7000000000E+01          0.0000000000E+00          3.7983606367E+04          0.0000000000E+00          3.2496427977E-01          3.2159680550E-01          3.2107432886E-01          3.2072864989E-01          3.3277858374E-01          3.2929091105E-01          3.2874748096E-01          3.2836012247E-01          4.0861467121E+02          4.1819072299E+02          2.1211655434E+00          2.1576547613E+00          1.3312469025E+00          1.4692648856E+00          0.0000000000E+00          6.6546479704E-01          5.5259464552E+01          1.5583892017E+00          7.8168164047E+01          4.6345122524E+02          1.5879541618E+00          
2022-08-01                00:04:16.653              212.00297052              5088.071293               213.00297052              1659312256.653            0                         963                       0.0000000000E+00          1.4000189416E+02          4.4999412537E+01          3.2540405569E+01          4.5122032166E+01          4.4998527527E+01          4.7000000000E+01          0.0000000000E+00          3.7983606367E+04          0.0000000000E+00          3.2497380970E-01          3.2168123061E-01          3.2112368938E-01          3.2072338937E-01          3.3279434928E-01          3.2937849701E-01          3.2879870714E-01          3.2835491262E-01          4.0853247211E+02          4.1811400085E+02          2.1149659828E+00          2.1513764424E+00          1.3322521857E+00          1.4452929955E+00          0.0000000000E+00          6.6546479704E-01          5.5259464552E+01          1.5583892017E+00          7.8168164047E+01          4.6345122524E+02          1.5879541618E+00          
2022-08-01                00:04:17.230              212.00297721              5088.071453               213.00297721              1659312257.231            0                         963                       0.0000000000E+00          1.3999872140E+02          4.4999412537E+01          3.2562500000E+01          4.5122032166E+01          4.4998527527E+01          2.0000000000E+00          0.0000000000E+00          3.7983612372E+04          0.0000000000E+00          3.2454596184E-01          3.2177210022E-01          3.2112942992E-01          3.2072549299E-01          3.3236088878E-01          3.2947324968E-01          3.2880570086E-01          3.2835723555E-01          4.0846929338E+02          4.1805503027E+02          2.1102009084E+00          2.1465507237E+00          1.3330249021E+00          1.4268637261E+00          0.0000000000E+00          6.6546479704E-01          5.5259464552E+01          1.5583892017E+00          7.8575569728E+01          4.6345122524E+02          1.4140764220E+00          
2022-08-01                00:04:17.948              212.00298552              5088.071652               213.00298552              1659312257.949            0                         963                       0.0000000000E+00          1.3999513245E+02          4.4999412537E+01          3.2562500000E+01          4.5122032166E+01          4.4998527527E+01          4.6000000000E+01          0.0000000000E+00          3.7981156250E+04          0.0000000000E+00          3.2399540835E-01          3.2184912523E-01          3.2112806283E-01          3.2073736905E-01          3.3178991801E-01          3.2955359671E-01          3.2880524081E-01          3.2836957058E-01          4.0839081869E+02          4.1796575640E+02          2.1042816726E+00          2.1404959026E+00          1.3318078246E+00          1.4381132759E+00          0.0000000000E+00          6.6546479704E-01          5.5179221008E+01          1.5583892017E+00          7.8575569728E+01          4.6345122524E+02          1.4140764220E+00          
2022-08-01                00:04:19.017              212.00299789              5088.071949               213.00299789              1659312259.018            0                         963                       0.0000000000E+00          1.3999676761E+02          4.4999412537E+01          3.2562500000E+01          4.5122032166E+01          4.4998527527E+01          4.7000000000E+01          0.0000000000E+00          3.7976255420E+04          0.0000000000E+00          3.2317358350E-01          3.2195292742E-01          3.2113180871E-01          3.2076343800E-01          3.3093774947E-01          3.2966105612E-01          3.2880998179E-01          3.2839644496E-01          4.0799196569E+02          4.1754430733E+02          2.0954690275E+00          2.1314820232E+00          1.3300058199E+00          1.4548566483E+00          0.0000000000E+00          6.6016468584E-01          5.5179221008E+01          1.4923459496E+00          7.8575569728E+01          4.6345122524E+02          1.4140764220E+00          
2022-08-01                00:04:19.798              212.00300692              5088.072166               213.00300692              1659312259.798            0                         963                       0.0000000000E+00          1.3999676761E+02          4.4999412537E+01          3.2562500000E+01          4.5122032166E+01          4.4998527527E+01          4.7000000000E+01          0.0000000000E+00          3.7976255420E+04          0.0000000000E+00          3.2316119415E-01          3.2217991711E-01          3.2115749714E-01          3.2078951429E-01          3.3091725118E-01          3.2989435621E-01          3.2883665609E-01          3.2842333401E-01          4.0770093985E+02          4.1723681185E+02          2.0890388287E+00          2.1249052602E+00          1.3286910953E+00          1.4670790028E+00          0.0000000000E+00          6.6016468584E-01          5.5179221008E+01          1.4923459496E+00          7.8575569728E+01          4.6345122524E+02          1.4140764220E+00          
2022-08-01                00:04:20.233              212.00301196              5088.072287               213.00301196              1659312260.233            0                         963                       0.0000000000E+00          1.3999843348E+02          4.4999483209E+01          3.2562500000E+01          4.5122018031E+01          4.4998485123E+01          2.5000000000E+01          0.0000000000E+00          3.7975698150E+04          0.0000000000E+00          3.2123446198E-01          3.2235863835E-01          3.2118835443E-01          3.2080506588E-01          3.2894026739E-01          3.3007808014E-01          3.2886858677E-01          3.2843945359E-01          4.0753864094E+02          4.1706533454E+02          2.0854528155E+00          2.1212376084E+00          1.3279579258E+00          1.4738773753E+00          0.0000000000E+00          6.6016468584E-01          5.5179221008E+01          1.4923459496E+00          7.8575569728E+01          4.5363529229E+02          1.4140764220E+00          
