DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   GPS_TIME                  GPS_ALTITUDE              
2022-07-15                16:42:31.223              195.36286138              4688.708673               1657903351.223            0                         899                       2.2795267787E+00          2.3184202444E+00          -4.2293826633E+00         -4.2978109695E+00         1.5390686266E+00          7.4739004416E+02          3.2753471375E+01          -1.7027475779E+00         4.1371398926E+01          1.9028576011E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:32.276              195.36287358              4688.708966               1657903352.277            0                         899                       2.2795267787E+00          2.3184202444E+00          5.2197313632E+02          5.3041827843E+02          1.5390686266E+00          7.4738761285E+02          3.2753471375E+01          -1.5102532786E+00         4.1371398926E+01          1.9018540957E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:33.359              195.36288611              4688.709267               1657903353.360            0                         899                       2.2777790564E+00          2.3136318370E+00          5.2197313632E+02          5.2976453576E+02          1.4216807829E+00          7.4738127894E+02          3.2753471375E+01          -1.4243864595E+00         4.1371398926E+01          1.9029096224E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:34.479              195.36289906              4688.709578               1657903354.479            0                         899                       2.2778240377E+00          2.3136778372E+00          7.6786505951E+02          7.7932694293E+02          1.4216929216E+00          7.4738783921E+02          3.2755666215E+01          -1.7192935430E+00         4.1371398926E+01          1.8980929103E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:35.532              195.36291125              4688.709870               1657903355.532            0                         899                       2.2874992683E+00          2.3245566425E+00          7.6788604356E+02          7.7968263034E+02          1.4625408758E+00          7.4738878909E+02          3.2758995056E+01          -1.5833035921E+00         4.1371398926E+01          1.9000193552E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:36.565              195.36292321              4688.710157               1657903356.565            0                         899                       2.2874992683E+00          2.3245566425E+00          6.2567936724E+02          6.3529131554E+02          1.4625408758E+00          7.4737647293E+02          3.2758995056E+01          -1.3641847585E+00         4.1371398926E+01          1.9036770751E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:37.598              195.36293517              4688.710444               1657903357.599            0                         899                       2.2860071066E+00          2.3242603248E+00          6.2567936724E+02          6.3560770072E+02          1.5099296417E+00          7.4737949194E+02          3.2758995056E+01          -1.4048653628E+00         4.1371398926E+01          1.9035559749E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:38.661              195.36294748              4688.710739               1657903358.662            0                         899                       2.2860071066E+00          2.3242603248E+00          -4.6698220195E+02         -4.7439231530E+02         1.5099296417E+00          7.4737772961E+02          3.2758995056E+01          -1.4491892966E+00         4.1371398926E+01          1.9017262137E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:39.719              195.36295971              4688.711033               1657903359.719            0                         899                       2.2853183145E+00          2.3220569400E+00          -4.6698805544E+02         -4.7410724619E+02         1.4515217289E+00          7.4737683712E+02          3.2760522956E+01          -1.5111156086E+00         4.1371398926E+01          1.8987925978E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:40.763              195.36297181              4688.711323               1657903360.764            0                         899                       2.2853998463E+00          2.3221403584E+00          7.3245095969E+02          7.4361728333E+02          1.4515441198E+00          7.4737182173E+02          3.2764488220E+01          -1.6744414963E+00         4.1371398926E+01          1.8981141172E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:41.812              195.36298395              4688.711615               1657903361.813            0                         899                       2.2854183603E+00          2.3230617875E+00          7.3245095969E+02          7.4389137837E+02          1.4866265949E+00          7.4737481811E+02          3.2764488220E+01          -1.5940289347E+00         4.1371398926E+01          1.8991395887E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:42.825              195.36299567              4688.711896               1657903362.826            0                         899                       2.2854183603E+00          2.3230617875E+00          5.2285114894E+02          5.3101775173E+02          1.4866265949E+00          7.4737250241E+02          3.2764488220E+01          -1.5712632951E+00         4.1371398926E+01          1.9008967747E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:43.934              195.36300851              4688.712204               1657903363.935            0                         899                       2.2865472068E+00          2.3240360422E+00          5.2285114894E+02          5.3098022972E+02          1.4799007589E+00          7.4737412853E+02          3.2764488220E+01          -1.8337898239E+00         4.1371398926E+01          1.8961619535E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:45.029              195.36302117              4688.712508               1657903365.029            0                         899                       2.2866347063E+00          2.3241256068E+00          5.2176661194E+02          5.2987896708E+02          1.4799252458E+00          7.4737881086E+02          3.2768741481E+01          -1.5078386842E+00         4.1371398926E+01          1.9011085321E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:46.055              195.36303304              4688.712793               1657903366.055            0                         899                       2.2841855679E+00          2.3237841803E+00          5.2177231408E+02          5.3034961068E+02          1.5633552598E+00          7.4738169204E+02          3.2770072937E+01          -1.7574410683E+00         4.1371398926E+01          1.9002423381E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:47.068              195.36304477              4688.713074               1657903367.068            0                         899                       2.2841855679E+00          2.3237841803E+00          5.2300788305E+02          5.3160549089E+02          1.5633552598E+00          7.4738822361E+02          3.2770072937E+01          -1.5391198657E+00         4.1371398926E+01          1.9014452827E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:48.073              195.36305641              4688.713354               1657903368.074            0                         899                       2.2861289177E+00          2.3240052345E+00          5.2300788305E+02          5.3122487840E+02          1.4952167052E+00          7.4737872072E+02          3.2770072937E+01          -1.4008123598E+00         4.1371398926E+01          1.9025661469E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:49.101              195.36306831              4688.713639               1657903369.102            0                         899                       2.2861378965E+00          2.3240144274E+00          5.2414352465E+02          5.3237837631E+02          1.4952192445E+00          7.4737239732E+02          3.2770509480E+01          -1.4430127846E+00         4.1371398926E+01          1.9017204853E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:50.180              195.36308079              4688.713939               1657903370.180            0                         899                       2.2837063607E+00          2.3211991373E+00          5.2416527804E+02          5.3232577669E+02          1.4818652229E+00          7.4738514275E+02          3.2775566101E+01          -1.6813832703E+00         4.1371398926E+01          1.9016984081E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
2022-07-15                16:42:51.267              195.36309338              4688.714241               1657903371.268            0                         899                       2.2837063607E+00          2.3211991373E+00          5.2238375213E+02          5.3051651499E+02          1.4818652229E+00          7.4738091596E+02          3.2775566101E+01          -1.3974493221E+00         4.1371398926E+01          1.9031113062E+01          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          
