group	Date	Time	ID	meas_time	chamber	mode	H2O_pct	CO2_ppm	CH4_ppm	N2O_ppm	NH3_ppm	amb.press_mbar	starting_time
216	2022-07-15	13:11:34	5_2022-07-15_13_11	2022-07-15T13:11:34Z	5	Closechamber	3.45	2529.45624029001	2.37907819782496	3.79678922837908	0.0994303469704816	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:11:41	5_2022-07-15_13_11	2022-07-15T13:11:41Z	5	Closechamber	3.31	2351.77370979419	2.30737408211811	3.41410693970421	0.130313372634192	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:11:48	5_2022-07-15_13_11	2022-07-15T13:11:48Z	5	Closechamber	2.9	1659.33058702369	2.31822863027806	2.21132852729145	0.00926879505664264	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:11:55	5_2022-07-15_13_11	2022-07-15T13:11:55Z	5	Closechamber	2.73	1100.02056132415	2.45193790480107	1.39076796545698	0	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:12:02	5_2022-07-15_13_11	2022-07-15T13:12:02Z	5	Closechamber	2.56	788.300492610838	2.41481937602627	0.897270114942529	0.00102627257799672	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:12:09	5_2022-07-15_13_11	2022-07-15T13:12:09Z	5	Closechamber	2.4	621.967213114754	2.39959016393443	0.671106557377049	0.391393442622951	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:12:16	5_2022-07-15_13_11	2022-07-15T13:12:16Z	5	Closechamber	2.31	530.924352543761	2.30320401269321	0.504043402600061	0.137168594533729	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:12:23	5_2022-07-15_13_11	2022-07-15T13:12:23Z	5	Closechamber	2.29	483.645481526968	2.3518575376113	0.446730119742094	0.311124756933784	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:12:30	5_2022-07-15_13_11	2022-07-15T13:12:30Z	5	Closechamber	2.29	455.67495650394	2.4081465561355	0.394637191689694	0.053218708422884	1015.87700703014	2022-07-15T13:11:34Z
216	2022-07-15	13:12:37	5_2022-07-15_13_11	2022-07-15T13:12:37Z	5	Closechamber	2.3	444.401228249744	2.45957011258956	0.370522006141249	0	1015.87700703014	2022-07-15T13:11:34Z
