time	H2Oconcentration_ppm	CO2concentration_ppm	CH4concentration_ppm	N2Oconcentration_ppb
2025-10-31 07:12:00.0	10161.095	8818.581	8.067	1146.52
2025-10-31 07:12:01.0	10148.37	8807.983	8.07	1147.048
2025-10-31 07:12:02.0	10164.43	8821.543	8.075	1147.932
2025-10-31 07:12:03.0	10164.646	8815.74	8.067	1146.566
2025-10-31 07:12:04.0	10165.355	8812.028	8.062	1146.496
2025-10-31 07:12:05.0	10181.246	8810.876	8.065	1147.27
2025-10-31 07:12:06.0	10177.747	8805.04	8.064	1146.952
2025-10-31 07:12:07.0	10195.186	8810.783	8.063	1147.602
2025-10-31 07:12:08.0	10196.406	8810.976	8.062	1147.184
2025-10-31 07:12:09.0	10193.798	8809.548	8.062	1147.615
2025-10-31 07:12:10.0	10206.845	8821.769	8.064	1148.601
2025-10-31 07:12:11.0	10199.331	8816.67	8.057	1147.765
2025-10-31 07:12:12.0	10204.919	8828.646	8.052	1147.14
2025-10-31 07:12:13.0	10212.956	8836.961	8.055	1147.413
2025-10-31 07:12:14.0	10208.163	8828.057	8.064	1147.429
2025-10-31 07:12:15.0	10220.915	8834.623	8.061	1146.707
2025-10-31 07:12:16.0	10213.801	8841.913	8.063	1146.547
2025-10-31 07:12:17.0	10202.488	8841.364	8.06	1146.489
2025-10-31 07:12:18.0	10182.8	8827.985	8.056	1146.579
2025-10-31 07:12:19.0	10194.959	8838.07	8.06	1147.373
2025-10-31 07:12:20.0	10196.02	8840.234	8.053	1148.254
2025-10-31 07:12:21.0	10186.86	8833.025	8.046	1147.83
2025-10-31 07:12:22.0	10197.466	8835.632	8.043	1147.545
2025-10-31 07:12:23.0	10193.122	8836.162	8.037	1147.09
2025-10-31 07:12:24.0	10181.616	8829.35	8.036	1146.834
2025-10-31 07:12:25.0	10185.384	8842.139	8.034	1147.756
2025-10-31 07:12:26.0	10178.684	8846.7	8.033	1148.157
2025-10-31 07:12:27.0	10180.739	8848.699	8.033	1147.64
2025-10-31 07:12:28.0	10184.494	8859.089	8.039	1150.083
2025-10-31 07:12:29.0	10171.808	8862.396	8.029	1149.399
2025-10-31 07:12:30.0	10147.329	8846.94	8.022	1148.286
2025-10-31 07:12:31.0	10143.134	8838.548	8.026	1148.974
2025-10-31 07:12:32.0	10153.838	8852.39	8.027	1148.866
2025-10-31 07:12:33.0	10146.02	8856.517	8.019	1148.911
2025-10-31 07:12:34.0	10140.106	8856.11	8.023	1149.718
2025-10-31 07:12:35.0	10127.778	8845.703	8.02	1148.837
2025-10-31 07:12:36.0	10123.406	8840.043	8.022	1149.056
2025-10-31 07:12:37.0	10124.956	8839.438	8.023	1149.229
2025-10-31 07:12:38.0	10126.353	8837.499	8.016	1148.926
2025-10-31 07:12:39.0	10138.113	8840.289	8.014	1148.906
2025-10-31 07:12:40.0	10143.763	8843.873	8.018	1148.948
2025-10-31 07:12:41.0	10174.345	8867.911	8.028	1149.75
2025-10-31 07:12:42.0	10172.388	8876.465	8.029	1149.314
2025-10-31 07:12:43.0	10157.505	8872.107	8.025	1148.849
2025-10-31 07:12:44.0	10150.924	8862.682	8.025	1147.763
2025-10-31 07:12:45.0	10148.605	8867.778	8.027	1147.315
2025-10-31 07:12:46.0	10159.689	8879.781	8.037	1147.65
2025-10-31 07:12:47.0	10155.813	8872.165	8.045	1148.864
2025-10-31 07:12:48.0	10175.703	8877.59	8.047	1148.786
2025-10-31 07:12:49.0	10200.815	8900.358	8.042	1148.874
2025-10-31 07:12:50.0	10188.775	8899.422	8.039	1148.583
2025-10-31 07:12:51.0	10192.687	8906.347	8.044	1148.857
2025-10-31 07:12:52.0	10174.474	8895.369	8.039	1148.019
2025-10-31 07:12:53.0	10186.34	8898.91	8.046	1148.958
2025-10-31 07:12:54.0	10196.614	8897.439	8.051	1148.74
2025-10-31 07:12:55.0	10207.417	8896.039	8.053	1149.719
2025-10-31 07:12:56.0	10219.487	8895.387	8.05	1148.942
2025-10-31 07:12:57.0	10217.111	8885.523	8.044	1148.42
2025-10-31 07:12:58.0	10230.59	8887.941	8.047	1148.849
2025-10-31 07:12:59.0	10233.377	8894.041	8.05	1148.842
2025-10-31 07:13:00.0	10223.815	8884.979	8.051	1149.74
2025-10-31 07:13:01.0	10225.16	8884.251	8.055	1150.275
2025-10-31 07:13:02.0	10210.764	8875.663	8.048	1149.784
2025-10-31 07:13:03.0	10212.83	8879.584	8.051	1150.059
2025-10-31 07:13:04.0	10209.58	8868.127	8.048	1149.04
2025-10-31 07:13:05.0	10236.786	8884.111	8.056	1150.142
2025-10-31 07:13:06.0	10243.325	8897.432	8.064	1151.091
2025-10-31 07:13:07.0	10224.624	8893.329	8.064	1150.54
2025-10-31 07:13:08.0	10212.558	8883.875	8.067	1150.747
2025-10-31 07:13:09.0	10203.442	8883.39	8.064	1150.354
2025-10-31 07:13:10.0	10187.022	8869.709	8.063	1150.002
2025-10-31 07:13:11.0	10174.785	8865.189	8.063	1150.506
2025-10-31 07:13:12.0	10183.192	8870.475	8.065	1150.311
2025-10-31 07:13:13.0	10213.816	8892.21	8.066	1150.306
2025-10-31 07:13:14.0	10235.805	8907.331	8.064	1150.131
2025-10-31 07:13:15.0	10246.578	8916.195	8.066	1150.324
2025-10-31 07:13:16.0	10218.863	8898.614	8.066	1148.953
2025-10-31 07:13:17.0	10209.187	8894.6	8.074	1149.733
2025-10-31 07:13:18.0	10207.467	8900.697	8.073	1149.743
2025-10-31 07:13:19.0	10191.811	8897.558	8.062	1148.668
2025-10-31 07:13:20.0	10181.546	8891.568	8.065	1148.801
2025-10-31 07:13:21.0	10181.457	8888.496	8.068	1148.545
2025-10-31 07:13:22.0	10193.775	8896.63	8.067	1148.564
2025-10-31 07:13:23.0	10177.626	8897.079	8.073	1148.9
2025-10-31 07:13:24.0	10167.845	8898.996	8.07	1149.395
2025-10-31 07:13:25.0	10156.994	8896.57	8.07	1149.141
2025-10-31 07:13:26.0	10154.919	8896.737	8.068	1148.579
2025-10-31 07:13:27.0	10160.645	8900.916	8.073	1150.02
2025-10-31 07:13:28.0	10147.477	8887.632	8.068	1149.457
2025-10-31 07:13:29.0	10177.112	8908.9	8.073	1150.49
2025-10-31 07:13:30.0	10197.301	8928.993	8.071	1150.516
2025-10-31 07:13:31.0	10182.962	8917.036	8.071	1149.516
2025-10-31 07:13:32.0	10179.656	8917.003	8.071	1149.813
2025-10-31 07:13:33.0	10171.607	8915.445	8.072	1150.416
2025-10-31 07:13:34.0	10165.034	8912.21	8.064	1149.44
2025-10-31 07:13:35.0	10176.239	8917.444	8.06	1149.708
2025-10-31 07:13:36.0	10184.388	8930.589	8.057	1148.963
2025-10-31 07:13:37.0	10182.423	8928.383	8.053	1149.463
2025-10-31 07:13:38.0	10186.495	8918.371	8.042	1148.37
2025-10-31 07:13:39.0	10200.216	8925.489	8.037	1147.937
