Model:	LI-7810
SN:	TG10-01449
Software Version:	2.3.3
Timestamp:	2022-12-05 08:00:00
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1670229510	836930990	10317	0	""	2022-12-05	09:38:30	6233.8008	459.38455	2067.6235	39.7446	55.0003	27.9514	37.0427	0.00121994	11.8607	54.5005	84.25	-0.346409	14.9002	167
DATA	1670229511	836628913	10321	0	""	2022-12-05	09:38:31	6234.584	459.646	2067.408	39.7442	55.0003	27.953	37.0431	0.00121856	11.8604	54.5005	-109.75	-0.346409	14.901	198
DATA	1670229512	836628913	10325	0	""	2022-12-05	09:38:32	6235.7642	459.41864	2067.3584	39.7446	55.0003	27.951	37.0429	0.00122946	11.8606	54.5005	21	-0.346409	14.8994	240
DATA	1670229513	836628913	10329	0	""	2022-12-05	09:38:33	6237.6802	460.14243	2066.9099	39.745	55.0003	27.9493	37.0429	0.00121911	11.8602	54.5005	-31	-0.346409	14.899	220
DATA	1670229514	836628913	10333	0	""	2022-12-05	09:38:34	6238.6675	461.78696	2066.2427	39.7442	55.0003	27.9469	37.0427	0.00122372	11.8609	54.5009	-54.75	-0.346409	14.8994	255
DATA	1670229515	836628913	10337	0	""	2022-12-05	09:38:35	6241.2241	461.34152	2065.6299	39.745	55.0003	27.9473	37.0429	0.00122483	11.8608	54.5007	-37	-0.346409	14.899	228
DATA	1670229516	836628913	10341	0	""	2022-12-05	09:38:36	6243.6572	462.07498	2065.5588	39.7442	55.0003	27.9461	37.0429	0.00122812	11.8603	54.5013	104	-0.346409	14.8998	 84
DATA	1670229517	836628913	10345	0	""	2022-12-05	09:38:37	6245.9224	461.6994	2066.1182	39.7455	55.0003	27.9493	37.0427	0.00122711	11.8602	54.5013	-35	-0.346409	14.901	215
DATA	1670229518	836628913	10349	0	""	2022-12-05	09:38:38	6249.3838	459.71017	2066.51	39.745	55.0003	27.9469	37.0431	0.00121884	11.8605	54.5011	4	-0.346409	14.901	 30
DATA	1670229519	836337089	10353	0	""	2022-12-05	09:38:39	6252.5801	460.29877	2066.5974	39.745	55.0003	27.9473	37.0427	0.00122533	11.8608	54.5007	80.75	-0.346409	14.901	 88
DATA	1670229520	836337089	10357	0	""	2022-12-05	09:38:40	6256.1831	459.43518	2066.6956	39.7455	55.0003	27.9498	37.0429	0.00121861	11.8601	54.5005	183	-0.346409	14.8998	102
DATA	1670229521	836337089	10361	0	""	2022-12-05	09:38:41	6258.771	460.70499	2066.988	39.7455	55.0003	27.9518	37.0427	0.00123208	11.8607	54.5005	-44.75	-0.346409	14.8974	141
DATA	1670229522	836337089	10365	0	""	2022-12-05	09:38:42	6261.1187	462.15033	2066.3313	39.7446	55.0003	27.9522	37.0427	0.00123276	11.8604	54.5005	-33.25	-0.346409	14.8971	196
DATA	1670229523	836337089	10369	0	""	2022-12-05	09:38:43	6264.2271	461.2691	2065.7942	39.7446	55.0003	27.9526	37.0427	0.00122188	11.8604	54.5005	-36.75	-0.346409	14.8974	184
DATA	1670229524	836337089	10373	0	""	2022-12-05	09:38:44	6266.0996	460.14963	2066.5024	39.7459	55.0003	27.9526	37.0427	0.0012268	11.8608	54.5005	6.75	-0.346409	14.8967	100
DATA	1670229525	836337089	10377	0	""	2022-12-05	09:38:45	6269.8916	459.89044	2066.7725	39.7459	55.0003	27.9551	37.0429	0.00122308	11.8605	54.5005	92	-0.346409	14.8982	 67
DATA	1670229526	836040973	10381	0	""	2022-12-05	09:38:46	6271.7607	460.7821	2066.1926	39.745	55.0003	27.9538	37.0429	0.00123371	11.8606	54.5005	-76.5	-0.346409	14.8978	 81
DATA	1670229527	836040973	10385	0	""	2022-12-05	09:38:47	6273.0649	460.86261	2065.812	39.7459	55.0003	27.9526	37.0427	0.00122828	11.8605	54.5005	51	-0.346409	14.8982	242
DATA	1670229528	836040973	10389	0	""	2022-12-05	09:38:48	6276.4307	461.19305	2065.9211	39.7459	55.0003	27.9547	37.0427	0.00123118	11.8604	54.5005	18	-0.346409	14.8986	 38
DATA	1670229529	836040973	10393	0	""	2022-12-05	09:38:49	6277.5229	461.21008	2065.9258	39.7455	55.0003	27.9538	37.0427	0.00123326	11.8599	54.5005	106.25	-0.346409	14.8982	245
