Model:	LI-7820
SN:	TG20-01079
Software Version:	2.1.41
Timestamp:	2022-09-28 10:34:19
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1664361470	560526132	74125	0	""	2022-09-28	12:37:50	11476.088	347.71262	39.8265	55.0003	31.6147	34.8853	0.00217898	38.4517	54.4998	3.9	-0.10586	14.2748	 93
DATA	1664361471	560526132	74135	0	""	2022-09-28	12:37:51	11475.137	347.39243	39.8285	55.0003	31.616	34.8853	0.00218072	38.453	54.4998	-11.1	-0.10586	14.2747	 57
DATA	1664361472	560413837	74145	0	""	2022-09-28	12:37:52	11478.623	347.02863	39.8265	55.0003	31.6149	34.8853	0.00217136	38.4533	54.4998	-1.9	-0.10586	14.2743	127
DATA	1664361473	560413837	74155	0	""	2022-09-28	12:37:53	11479.056	346.65683	39.8269	55.0003	31.6139	34.8853	0.00217199	38.4537	54.4998	11.6	-0.10586	14.2743	156
DATA	1664361474	560413837	74165	0	""	2022-09-28	12:37:54	11479.103	346.73883	39.8277	55.0003	31.6141	34.8853	0.00217393	38.4515	54.4998	19.5	-0.10586	14.2743	144
DATA	1664361475	560265064	74175	0	""	2022-09-28	12:37:55	11479.831	346.83951	39.8273	55.0003	31.6154	34.8853	0.00217631	38.4496	54.4998	8	-0.10586	14.274	208
DATA	1664361476	560265064	74185	0	""	2022-09-28	12:37:56	11480.143	347.04291	39.8273	55.0003	31.6146	34.8853	0.00217237	38.4515	54.4998	0.1	-0.10586	14.2743	 67
DATA	1664361477	560265064	74195	0	""	2022-09-28	12:37:57	11479.558	347.32965	39.8275	55.0003	31.6156	34.8853	0.00217817	38.4516	54.4998	-7.7	-0.10586	14.2743	163
DATA	1664361478	560148000	74205	0	""	2022-09-28	12:37:58	11481.627	347.20126	39.827	55.0003	31.6134	34.8853	0.00217116	38.4513	54.4998	-2.3	-0.10586	14.274	251
DATA	1664361479	560148000	74215	0	""	2022-09-28	12:37:59	11481.263	347.04434	39.827	55.0003	31.6138	34.8853	0.00217888	38.4542	54.4998	-27.3	-0.10586	14.274	 75
DATA	1664361480	560148000	74225	0	""	2022-09-28	12:38:00	11480.585	347.04852	39.8277	55.0003	31.6159	34.8853	0.0021751	38.4503	54.4998	-24.5	-0.10586	14.274	 53
DATA	1664361481	560024976	74235	0	""	2022-09-28	12:38:01	11482.046	347.57526	39.828	55.0003	31.6144	34.8853	0.00217909	38.45	54.4998	-14.4	-0.10586	14.2737	 24
DATA	1664361482	560024976	74245	0	""	2022-09-28	12:38:02	11483.049	347.39185	39.8275	55.0003	31.6142	34.8853	0.00218437	38.4519	54.4998	6.9	-0.10586	14.2737	 98
DATA	1664361483	560024976	74255	0	""	2022-09-28	12:38:03	11482.242	347.03415	39.827	55.0003	31.6146	34.8853	0.00218239	38.4494	54.4998	-9.8	-0.10586	14.2736	 81
DATA	1664361484	559900045	74265	0	""	2022-09-28	12:38:04	11481.144	346.81442	39.8283	55.0003	31.6154	34.8853	0.00218376	38.4513	54.4998	-13.7	-0.10586	14.2734	172
DATA	1664361485	559900045	74275	0	""	2022-09-28	12:38:05	11483.349	347.64194	39.8277	55.0003	31.6151	34.8853	0.00217405	38.4515	54.4998	-23.1	-0.10586	14.2723	177
DATA	1664361486	559900045	74285	0	""	2022-09-28	12:38:06	11482.596	347.37915	39.828	55.0003	31.6162	34.8853	0.00217547	38.4504	54.4998	-29.3	-0.10586	14.2732	145
DATA	1664361487	559769153	74295	0	""	2022-09-28	12:38:07	11482.975	346.95383	39.8277	55.0003	31.6162	34.8853	0.00217944	38.4501	54.4998	-12.3	-0.10586	14.2728	213
DATA	1664361488	559769153	74305	0	""	2022-09-28	12:38:08	11483.913	347.37692	39.8273	55.0003	31.6156	34.8853	0.00218646	38.4514	54.4998	-52.9	-0.10586	14.2728	213
DATA	1664361489	559769153	74315	0	""	2022-09-28	12:38:09	11484.072	346.86963	39.8282	55.0003	31.6136	34.8853	0.0021872	38.4531	54.4998	40.5	-0.10586	14.2731	101
DATA	1664361490	559643030	74325	0	""	2022-09-28	12:38:10	11482.284	347.47824	39.8275	55.0003	31.6126	34.8853	0.00218598	38.4529	54.4998	3.2	-0.10586	14.2728	 91
DATA	1664361491	559643030	74335	0	""	2022-09-28	12:38:11	11483.008	347.25812	39.8269	55.0003	31.6147	34.8853	0.00218788	38.4513	54.4998	-5.4	-0.10586	14.2728	131
DATA	1664361492	559643030	74345	0	""	2022-09-28	12:38:12	11483.383	346.9285	39.8272	55.0003	31.6141	34.8853	0.00218697	38.4497	54.4998	-16.5	-0.10586	14.2721	139
DATA	1664361493	559517145	74355	0	""	2022-09-28	12:38:13	11485.822	346.85532	39.8267	55.0003	31.6146	34.8853	0.0021817	38.4503	54.4998	-18.2	-0.10586	14.2725	134
DATA	1664361494	559517145	74365	0	""	2022-09-28	12:38:14	11486.315	347.11041	39.8272	55.0003	31.6128	34.8853	0.00218238	38.4518	54.4998	13.1	-0.10586	14.272	 71
DATA	1664361495	559517145	74375	0	""	2022-09-28	12:38:15	11486.726	346.72977	39.827	55.0003	31.6131	34.8853	0.00217212	38.4529	54.4998	15.4	-0.10586	14.2718	101
DATA	1664361496	559392213	74385	0	""	2022-09-28	12:38:16	11500.985	346.74564	39.8275	55.0003	31.6126	34.8853	0.00217695	38.4515	54.4998	8.3	-0.10586	14.272	 54
DATA	1664361497	559392213	74395	0	""	2022-09-28	12:38:17	11558.675	346.83563	39.8278	55.0003	31.6125	34.8853	0.00218642	38.4504	54.4998	16.2	-0.10586	14.2721	153
DATA	1664361498	559392213	74405	0	""	2022-09-28	12:38:18	11556.354	346.9975	39.8272	55.0003	31.6133	34.8853	0.00219312	38.4484	54.4998	6.3	-0.10586	14.2718	 49
DATA	1664361499	559262990	74415	0	""	2022-09-28	12:38:19	11550.661	346.918	39.8277	55.0003	31.6133	34.8853	0.00219135	38.4508	54.4998	-30.1	-0.10586	14.2714	 84
DATA	1664361500	559262990	74425	0	""	2022-09-28	12:38:20	11544.619	346.75262	39.8282	55.0003	31.6123	34.8853	0.00219281	38.4502	54.4998	-12.1	-0.10586	14.2717	160
DATA	1664361501	559262990	74435	0	""	2022-09-28	12:38:21	11545.873	344.78101	39.8273	55.0003	31.6131	34.8853	0.00217985	38.4502	54.4998	-24.8	-0.10586	14.2712	172
DATA	1664361502	559134006	74445	0	""	2022-09-28	12:38:22	11547.249	344.26971	39.8272	55.0003	31.6118	34.8853	0.00216979	38.4494	54.4998	-21.8	-0.10586	14.2709	187
DATA	1664361503	559134006	74455	0	""	2022-09-28	12:38:23	11547.296	344.2265	39.8273	55.0003	31.6105	34.8853	0.00217739	38.4492	54.4998	-17.1	-0.10586	14.2712	116
DATA	1664361504	559134006	74465	0	""	2022-09-28	12:38:24	11548.365	344.37253	39.828	55.0003	31.6089	34.8853	0.002171	38.452	54.4998	28.2	-0.10586	14.2712	175
DATA	1664361505	559006214	74475	0	""	2022-09-28	12:38:25	11545.148	344.64188	39.8272	55.0003	31.6095	34.8853	0.00216456	38.452	54.4998	41.8	-0.10586	14.2712	 80
DATA	1664361506	559006214	74485	0	""	2022-09-28	12:38:26	11535.761	344.47076	39.827	55.0003	31.6121	34.8853	0.00216503	38.4504	54.4998	-3.2	-0.10586	14.2712	 52
DATA	1664361507	559006214	74495	0	""	2022-09-28	12:38:27	11523.123	344.72855	39.8267	55.0003	31.6115	34.8853	0.00216407	38.4507	54.4998	-7.5	-0.10586	14.2709	123
DATA	1664361508	558883190	74505	0	""	2022-09-28	12:38:28	11514.491	344.66888	39.8272	55.0003	31.6125	34.8853	0.00216524	38.4499	54.4998	11.5	-0.10586	14.2709	154
DATA	1664361509	558883190	74515	0	""	2022-09-28	12:38:29	11509.94	344.16129	39.827	55.0003	31.6125	34.8853	0.00216808	38.4494	54.4998	-2.2	-0.10586	14.2707	 37
DATA	1664361510	558883190	74525	0	""	2022-09-28	12:38:30	11511.024	344.53998	39.827	55.0003	31.6121	34.8853	0.00217099	38.4502	54.4998	-14.6	-0.10586	14.2707	115
DATA	1664361511	558760166	74535	0	""	2022-09-28	12:38:31	11518.959	344.54584	39.8275	55.0003	31.6131	34.8853	0.00216735	38.4489	54.4998	-25.8	-0.10586	14.2704	196
