SN:3K43430000002063 BD:Nov 27 2018 VC:936e000 MD5:9aee3a1333f215ea1fd75a6f60f596f4
                     Time,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,            R14,         R14_sd,          R15Aa,       R15Aa_sd,          R15Ab,       R15Ab_sd,          R15Ba,       R15Ba_sd,          R15Bb,       R15Bb_sd,           R18A,        R18A_sd,      [NNO]_ppm,   [NNO]_ppm_sd,    [NN15O]_ppm, [NN15O]_ppm_sd,    [N15NO]_ppm, [N15NO]_ppm_sd,    [NNO18]_ppm, [NNO18]_ppm_sd,          d15NA,       d15NA_sd,          d15NB,       d15NB_sd,           d15N,        d15N_sd,           d18O,        d18O_sd,             SP,          SP_sd,      [N2O]_ppm,   [N2O]_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         LTC0_v,      LTC0_v_sd,           AIN5,        AIN5_sd,           AIN6,        AIN6_sd,         DetOff,      DetOff_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  05/09/2022 11:07:10.965,    6.402632e+2,    8.391807e+1,    0.000000e+0,    0.000000e+0,    2.961858e-1,    3.397300e-4,    6.812068e-4,    9.198325e-6,    1.095283e-3,    1.441438e-5,    4.663105e-4,    1.174383e-5,    1.091149e-3,    1.631418e-5,    7.060204e-4,    2.264582e-5,    2.962640e-1,    3.395896e-4,    1.091725e-3,    1.437568e-5,    1.098276e-3,    1.641211e-5,    6.221728e-4,    1.986921e-5,    2.437149e+0,    1.279818e+1,    8.452271e+0,    1.471654e+1,    5.444710e+0,    1.222751e+1,    4.732404e+1,    3.396817e+1,   -6.015122e+0,    1.275508e+1,    2.990762e-1,    3.434399e-4,    4.504638e+1,    6.999757e-3,    4.440258e+1,    3.190368e-4,    8.975062e-2,    2.073255e-3,    1.272589e+1,    9.905819e-3,   -2.163928e+0,   4.681111e-16,    7.981866e-1,    3.912775e-5,    8.601303e-1,    2.771838e-4,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:07:21.050,    5.854672e+2,    9.254864e+1,    0.000000e+0,    0.000000e+0,    2.960735e-1,    2.638320e-4,    6.821670e-4,    1.002888e-5,    1.088782e-3,    1.266473e-5,    4.617492e-4,    1.262555e-5,    1.075024e-3,    1.934349e-5,    6.932073e-4,    1.163954e-5,    2.961519e-1,    2.637229e-4,    1.085238e-3,    1.262902e-5,    1.082054e-3,    1.946656e-5,    6.108187e-4,    1.034814e-5,   -3.140247e+0,    1.132943e+1,   -6.064465e+0,    1.774638e+1,   -4.602356e+0,    9.238400e+0,    2.857769e+1,    1.690013e+1,    2.924218e+0,    2.334925e+1,    2.989300e-1,    2.783135e-4,    4.505041e+1,    1.214978e-2,    4.440247e+1,    2.936026e-4,    8.954227e-2,    3.561241e-4,    1.273111e+1,    7.432304e-3,   -2.164083e+0,    7.976733e-5,    7.981741e-1,    1.434679e-5,    8.601460e-1,    6.227220e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:07:31.062,    6.306963e+2,    9.812436e+1,    0.000000e+0,    0.000000e+0,    2.960718e-1,    2.570313e-4,    6.860715e-4,    8.271051e-6,    1.096939e-3,    1.315110e-5,    4.571680e-4,    1.427951e-5,    1.074739e-3,    1.948970e-5,    6.986811e-4,    1.572957e-5,    2.961501e-1,    2.569251e-4,    1.093368e-3,    1.310593e-5,    1.081767e-3,    1.962755e-5,    6.156389e-4,    1.382721e-5,    4.338272e+0,    1.219805e+1,   -6.312170e+0,    1.851845e+1,   -9.869494e-1,    1.219421e+1,    3.671243e+1,    2.348810e+1,    1.065044e+1,    1.971437e+1,    2.989409e-1,    2.430130e-4,    4.505060e+1,    1.081505e-2,    4.440200e+1,    3.610057e-4,    9.026186e-2,    4.029442e-4,    1.272902e+1,    4.968065e-3,   -2.164278e+0,    6.091290e-5,    7.981716e-1,    1.545990e-5,    8.601517e-1,    5.295751e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:07:41.074,    6.220084e+2,    5.296957e+1,    0.000000e+0,    0.000000e+0,    2.961984e-1,    2.728095e-4,    6.814756e-4,    1.244815e-5,    1.090379e-3,    1.455505e-5,    4.715410e-4,    1.551457e-5,    1.094209e-3,    2.778308e-5,    6.906788e-4,    2.267534e-5,    2.962766e-1,    2.726966e-4,    1.086837e-3,    1.451313e-5,    1.101355e-3,    2.796740e-5,    6.086634e-4,    1.999314e-5,   -2.092000e+0,    1.306221e+1,    1.124412e+1,    2.582700e+1,    4.576060e+0,    1.428961e+1,    2.452339e+1,    3.360167e+1,   -1.333612e+1,    2.930083e+1,    2.990735e-1,    2.766569e-4,    4.505174e+1,    7.799492e-3,    4.440193e+1,    2.605270e-4,    8.948723e-2,    5.793736e-4,    1.272623e+1,    6.304231e-3,   -2.164373e+0,    3.791203e-5,    7.981683e-1,    1.156486e-5,    8.601075e-1,    5.237242e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:07:51.086,    6.097888e+2,    8.412786e+1,    0.000000e+0,    0.000000e+0,    2.961802e-1,    1.681628e-4,    6.803839e-4,    1.614838e-5,    1.088429e-3,    2.450813e-5,    4.709229e-4,    1.748896e-5,    1.091358e-3,    2.215989e-5,    7.012551e-4,    2.573140e-5,    2.962584e-1,    1.680932e-4,    1.084893e-3,    2.442784e-5,    1.098486e-3,    2.230227e-5,    6.179735e-4,    2.269742e-5,   -3.812243e+0,    2.247353e+1,    8.666735e+0,    2.037806e+1,    2.427246e+0,    1.287106e+1,    4.025496e+1,    3.808253e+1,   -1.247898e+1,    3.432190e+1,    2.990598e-1,    1.773277e-4,    4.505018e+1,    1.162013e-2,    4.440194e+1,    3.929919e-4,    8.992910e-2,    6.814253e-4,    1.272852e+1,    3.398495e-3,   -2.164489e+0,    1.890056e-5,    7.981660e-1,    1.731532e-5,    8.601443e-1,    4.889391e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:08:01.098,    6.545654e+2,    8.897181e+1,    0.000000e+0,    0.000000e+0,    2.960778e-1,    3.214156e-4,    6.810059e-4,    9.227818e-6,    1.092397e-3,    9.382630e-6,    4.585483e-4,    1.456542e-5,    1.076563e-3,    1.705169e-5,    7.067397e-4,    1.879433e-5,    2.961561e-1,    3.212828e-4,    1.088842e-3,    9.353718e-6,    1.083602e-3,    1.715917e-5,    6.227451e-4,    1.661340e-5,    1.584214e-1,    8.570585e+0,   -4.656584e+0,    1.561534e+1,   -2.249081e+0,    9.101957e+0,    4.864760e+1,    2.768355e+1,    4.815005e+0,    1.741278e+1,    2.989513e-1,    3.302461e-4,    4.504488e+1,    8.399633e-3,    4.440197e+1,    2.702178e-4,    8.953617e-2,    9.636363e-4,    1.272847e+1,    6.096418e-3,   -2.164540e+0,    1.783888e-5,    7.981712e-1,    1.222316e-5,    8.600960e-1,    3.704759e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:08:11.110,    6.325628e+2,    6.892506e+1,    0.000000e+0,    0.000000e+0,    2.961909e-1,    1.479163e-4,    6.853109e-4,    7.007321e-6,    1.098500e-3,    1.205750e-5,    4.565523e-4,    9.966543e-6,    1.079726e-3,    1.522750e-5,    6.919511e-4,    2.204286e-5,    2.962692e-1,    1.478551e-4,    1.094932e-3,    1.202156e-5,    1.086778e-3,    1.532180e-5,    6.097804e-4,    1.943572e-5,    5.366484e+0,    1.087165e+1,   -2.121474e+0,    1.384014e+1,    1.622505e+0,    9.215367e+0,    2.642817e+1,    3.265725e+1,    7.487959e+0,    1.672701e+1,    2.990607e-1,    1.642636e-4,    4.504832e+1,    9.282107e-3,    4.440157e+1,    2.757152e-4,    8.960148e-2,    6.441310e-4,    1.272654e+1,    3.164088e-3,   -2.164506e+0,    3.011934e-5,    7.981806e-1,    1.166591e-5,    8.600846e-1,    4.315561e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:08:21.122,    6.390043e+2,    1.068268e+2,    0.000000e+0,    0.000000e+0,    2.962257e-1,    3.408256e-4,    6.795839e-4,    9.884721e-6,    1.091278e-3,    1.360372e-5,    4.524554e-4,    1.080086e-5,    1.069643e-3,    1.741339e-5,    6.986126e-4,    1.449933e-5,    2.963039e-1,    3.406847e-4,    1.087735e-3,    1.355518e-5,    1.076627e-3,    1.752592e-5,    6.156697e-4,    1.269605e-5,   -1.353630e+0,    1.273376e+1,   -1.155507e+1,    1.607830e+1,   -6.454350e+0,    1.209638e+1,    3.623179e+1,    2.186607e+1,    1.020144e+1,    1.600099e+1,    2.990840e-1,    3.345991e-4,    4.505365e+1,    7.786917e-3,    4.440135e+1,    2.397190e-4,    9.000142e-2,    8.794696e-4,    1.272501e+1,    6.466921e-3,   -2.164482e+0,   4.681111e-16,    7.981691e-1,    1.133960e-5,    8.601385e-1,    4.410804e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:08:31.134,    6.171107e+2,    6.290568e+1,    0.000000e+0,    0.000000e+0,    2.960511e-1,    2.543756e-4,    6.761387e-4,    1.125005e-5,    1.087796e-3,    1.509175e-5,    4.603793e-4,    1.727440e-5,    1.083473e-3,    2.726413e-5,    6.898337e-4,    1.489266e-5,    2.961294e-1,    2.542705e-4,    1.084254e-3,    1.504372e-5,    1.090560e-3,    2.743212e-5,    6.078321e-4,    1.315618e-5,   -3.966548e+0,    1.378398e+1,    1.816145e+0,    2.473792e+1,   -1.075201e+0,    1.484714e+1,    2.363003e+1,    2.196994e+1,   -5.782693e+0,    2.687333e+1,    2.989120e-1,    2.744178e-4,    4.505078e+1,    6.467490e-3,    4.440145e+1,    2.238829e-4,    8.989083e-2,    6.955562e-4,    1.272974e+1,    8.544495e-3,   -2.164482e+0,   4.681111e-16,    7.981861e-1,    2.373623e-5,    8.601178e-1,    4.953815e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
  05/09/2022 11:08:41.146,    6.647218e+2,    5.285355e+1,    0.000000e+0,    0.000000e+0,    2.961554e-1,    3.272295e-4,    6.741199e-4,    8.176644e-6,    1.085114e-3,    1.024494e-5,    4.636348e-4,    1.086005e-5,    1.089012e-3,    1.105010e-5,    6.986606e-4,    2.142110e-5,    2.962337e-1,    3.270941e-4,    1.081587e-3,    1.020631e-5,    1.096127e-3,    1.112365e-5,    6.156735e-4,    1.894735e-5,   -6.762276e+0,    9.720337e+0,    6.588082e+0,    1.033678e+1,   -8.709741e-2,    8.468932e+0,    3.646292e+1,    3.149679e+1,   -1.335036e+1,    1.075997e+1,    2.990271e-1,    3.320146e-4,    4.505162e+1,    6.101304e-3,    4.440137e+1,    2.236430e-4,    8.977444e-2,    6.195575e-4,    1.272913e+1,    7.273520e-3,   -2.164480e+0,    5.099799e-6,    7.981858e-1,    1.172466e-5,    8.601285e-1,    7.087396e-5,    8.582006e-2,    0.000000e+0,              3,             -1,       Disabled
