sep=	
"Titles:"	"SEQUENCE"	"TAG"	"COM5A005C00_DeviceType"	"COM5A005C01_DeviceMode"	"COM5A005C02_StatusBits"	"COM5A005C03_ErrorCode"	"COM5A005C04_ServiceMode"	"COM5A005C05_OperatingMode"	"COM5A005C06_OperatingStatus"	"COM5A005C07_CH ID"	"COM5A005C08_Chamber closed"	"COM5A005C09_"	"COM5A005C10_"	"COM5A006C00_DeviceType"	"COM5A006C01_DeviceMode"	"COM5A006C02_StatusBits"	"COM5A006C03_ErrorCode"	"COM5A006C04_ServiceMode"	"COM5A006C05_OperatingMode"	"COM5A006C06_OperatingStatus"	"COM5A006C07_Analog Sensor1"	"COM5A006C08_Analog Sensor2"	"COM5A006C09_"	"COM5A006C10_"	"XT5C00_Instrument"	"XT5C01_OperatingStatus"	"XT5C02_DATETIME"	"XT5C03_N2O Dry"	"XT5C04_CH4 Dry"	"XT5C05_H2O"	"XT5C06_CO2"
"Units:"	""	""	"Sensor"	""	""	""	""	""	""	"V"	""	""	""	"Sensor"	""	""	""	""	""	""	"V"	"V"	""	""	"PicarroGXXXX"	""	""	"ppm"	"ppm"	"%"	"ppm"
2025-08-14 00:00:00.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:28.400	0.3366	2.287	1.550	442.617
2025-08-14 00:00:01.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:31.250	0.3439	2.286	1.548	442.462
2025-08-14 00:00:02.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:31.250	0.3439	2.286	1.548	442.462
2025-08-14 00:00:03.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:33.650	0.3400	2.286	1.547	442.345
2025-08-14 00:00:04.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:33.650	0.3400	2.286	1.547	442.345
2025-08-14 00:00:05.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:33.650	0.3400	2.286	1.547	442.345
2025-08-14 00:00:06.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:36.500	0.3348	2.286	1.551	442.409
2025-08-14 00:00:07.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:36.500	0.3348	2.286	1.551	442.409
2025-08-14 00:00:08.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:38.940	0.3394	2.287	1.554	442.505
2025-08-14 00:00:09.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:38.940	0.3394	2.287	1.554	442.505
2025-08-14 00:00:10.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:38.940	0.3394	2.287	1.554	442.505
2025-08-14 00:00:11.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:41.740	0.3396	2.287	1.561	442.332
2025-08-14 00:00:12.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:41.740	0.3396	2.287	1.561	442.332
2025-08-14 00:00:13.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:44.180	0.3400	2.288	1.568	442.121
2025-08-14 00:00:14.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:44.180	0.3400	2.288	1.568	442.121
2025-08-14 00:00:15.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:44.180	0.3400	2.288	1.568	442.121
2025-08-14 00:00:16.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:44.180	0.3400	2.288	1.568	442.121
2025-08-14 00:00:17.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:47.040	0.3329	2.288	1.567	442.262
2025-08-14 00:00:18.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:47.040	0.3329	2.288	1.567	442.262
2025-08-14 00:00:19.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:49.510	0.3405	2.288	1.567	442.463
2025-08-14 00:00:20.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:49.510	0.3405	2.288	1.567	442.463
2025-08-14 00:00:21.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:51.070	0.3536	2.288	1.566	442.531
2025-08-14 00:00:22.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:52.260	0.3524	2.288	1.565	442.557
2025-08-14 00:00:23.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:52.260	0.3524	2.288	1.565	442.557
2025-08-14 00:00:24.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:54.650	0.3471	2.289	1.564	442.609
2025-08-14 00:00:25.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:54.650	0.3471	2.289	1.564	442.609
2025-08-14 00:00:26.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:54.650	0.3471	2.289	1.564	442.609
2025-08-14 00:00:27.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:57.480	0.3384	2.289	1.556	442.639
2025-08-14 00:00:28.000	""	""	50	3	8211	0	1	1	1	0.75	0.00			50	3	8211	0	1	1	1	10.00	10.00			PicarroGXXXX	3	2025-08-14 00:00:57.480	0.3384	2.289	1.556	442.639
