Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),CH4 (ppm),H2O (ppm),C2H6 (ppb),R,C2/C1,Battery Charge (V),Power Input (mV),Current (mA),SOC (%),TEC Sink Temp (degC),Wall Code,Latitude,Longitude
01/26/2024 11:07:40.359,1,239.923,18.1053,26.8992,21.4403,24.7924,18.1053,2.02299,11105.8,3.26566,0,-1,10247,3200,-3822,9,19.496,1023,No Data,No Data
01/26/2024 11:07:41.551,1,239.952,18.1077,26.8972,21.4354,24.8412,18.1077,2.01636,11104.6,4.02078,0,-1,10270,3200,-3848,9,19.478,1023,No Data,No Data
01/26/2024 11:07:42.544,1,239.969,18.0442,26.9473,21.4268,24.9096,18.0442,2.01487,11079.2,4.3177,0,-1,10267,3200,-3976,9,19.469,1023,No Data,No Data
01/26/2024 11:07:43.736,1,239.978,18.1192,27.0118,21.4203,24.9682,18.1192,2.0193,11063.1,4.47104,0,-1,10283,3200,-4021,9,19.461,1023,No Data,No Data
01/26/2024 11:07:44.729,1,239.971,18.1671,27.0360,21.4138,25.0366,18.1671,2.01928,11049.1,4.92512,0,-1,10256,3200,-3823,9,19.452,1023,No Data,No Data
01/26/2024 11:07:45.921,1,239.952,18.1095,27.0511,21.4104,25.0855,18.1095,2.01943,11043.9,5.30908,0,-1,10279,3200,-3801,9,19.443,1023,No Data,No Data
01/26/2024 11:07:47.014,1,239.978,18.1233,27.1126,21.4040,25.1343,18.1233,2.02346,11023.3,5.8652,0,-1,10249,3200,-3877,9,19.436,1023,No Data,No Data
01/26/2024 11:07:48.106,1,239.934,18.2889,27.1707,21.4174,25.1930,18.2889,2.02349,11015,6.24651,0,-1,10260,3200,-3953,9,19.426,1023,No Data,No Data
01/26/2024 11:07:49.199,1,239.999,18.3055,27.2283,21.4484,25.2418,18.3055,2.02541,10991.6,6.30981,0,-1,10279,3200,-4014,9,19.417,1023,No Data,No Data
01/26/2024 11:07:50.292,1,239.962,18.3733,27.2849,21.4736,25.3298,18.3733,2.02556,10979.7,6.38022,0.637177,-1,10276,3200,-4040,9,19.408,1023,No Data,No Data
01/26/2024 11:07:51.384,1,239.966,18.3269,27.3048,21.4792,25.3395,18.3269,2.02389,10959.6,6.2729,0.662791,-1,10275,3200,-3962,9,19.400,1023,No Data,No Data
01/26/2024 11:07:52.377,1,239.993,18.3852,27.3249,21.4743,25.4275,18.3852,2.02565,10942.3,5.75495,0.666532,-1,10272,3200,-3895,9,19.392,1023,No Data,No Data
01/26/2024 11:07:53.470,1,239.976,18.4751,27.3823,21.4714,25.4568,18.4751,2.02816,10915.9,5.46621,0.61776,-1,10257,3200,-3865,9,19.383,1023,No Data,No Data
01/26/2024 11:07:54.463,1,239.992,18.4666,27.4353,21.4666,25.5252,18.4666,2.02851,10890.3,5.24652,0.560408,-1,10243,3200,-3791,9,19.374,1023,No Data,No Data
01/26/2024 11:07:55.457,1,239.97,18.4955,27.4877,21.4546,25.5252,18.4955,2.0274,10870.9,4.73452,0.485763,-1,10235,3200,-3808,9,19.365,1023,No Data,No Data
01/26/2024 11:07:56.549,1,239.986,18.4628,27.5424,21.4363,25.6033,18.4628,2.02967,10849,4.44223,0.35613,-1,10243,3200,-3857,9,19.359,1023,No Data,No Data
01/26/2024 11:07:57.543,1,240,18.4943,27.5843,21.4153,25.6229,18.4943,2.03204,10835.2,4.17869,0.19137,-1,10265,3200,-3948,9,19.351,1023,No Data,No Data
01/26/2024 11:07:58.536,1,239.978,18.4855,27.5884,21.3964,25.7010,18.4855,2.0323,10816.2,3.80045,0.0365789,-1,10277,3200,-4006,9,19.341,1023,No Data,No Data
01/26/2024 11:07:59.628,1,239.996,18.5883,27.6465,21.3764,25.7303,18.5883,2.03562,10814.3,3.73817,-0.11395,-1,10269,3200,-3966,9,19.335,1023,No Data,No Data
01/26/2024 11:08:00.721,1,239.974,18.6060,27.7031,21.3607,25.8183,18.6060,2.03663,10810.4,3.64241,-0.229282,-1,10259,3200,-3954,9,19.328,1023,No Data,No Data
01/26/2024 11:08:01.714,1,239.996,18.7089,27.7549,21.3496,25.8476,18.7089,2.03415,10797.4,3.47873,-0.302142,-1,10256,3200,-3833,9,19.320,1023,No Data,No Data
01/26/2024 11:08:02.708,1,239.991,18.7291,27.8076,21.3341,25.9160,18.7291,2.03416,10790.1,3.35268,-0.361975,-1,10238,3200,-3786,9,19.311,1023,No Data,No Data
01/26/2024 11:08:03.800,1,239.985,18.7409,27.8516,21.3242,25.9941,18.7409,2.03326,10780.7,2.76091,-0.413909,-1,10240,3200,-3820,9,19.304,1023,No Data,No Data
01/26/2024 11:08:04.793,1,240.005,18.7381,27.8382,21.3195,26.0137,18.7381,2.03067,10769.1,2.63671,-0.431068,-1,10240,3200,-3820,9,19.297,1023,No Data,No Data
01/26/2024 11:08:05.787,1,239.978,18.8201,27.8901,21.3249,26.0821,18.8201,2.03156,10751.6,2.92702,-0.452686,-1,10268,3200,-4068,9,19.289,1023,No Data,No Data
01/26/2024 11:08:06.879,1,240.003,18.8470,27.9458,21.3265,26.1114,18.8470,2.02758,10735.7,2.97395,-0.442785,-1,10268,3200,-4068,9,19.278,1023,No Data,No Data
01/26/2024 11:08:07.972,1,239.946,18.9247,28.0024,21.3419,26.1982,18.9247,2.02621,10724.1,3.21559,-0.428449,-1,10262,3200,-3885,9,19.270,1023,No Data,No Data
01/26/2024 11:08:09.065,1,240.016,18.8995,28.0560,21.3594,26.2482,18.8995,2.02398,10705.4,3.71275,-0.412539,-1,10247,3200,-3829,9,19.263,1023,No Data,No Data
01/26/2024 11:08:10.157,1,239.976,18.9440,28.1115,21.3716,26.3068,18.9440,2.02778,10708.1,4.7481,-0.410103,-1,10232,3200,-3766,9,19.255,1023,No Data,No Data
01/26/2024 11:08:11.250,1,239.959,18.8806,28.1055,21.3742,26.3394,18.8806,2.02511,10711,6.12729,-0.410171,-1,10228,3200,-3799,9,19.246,1023,No Data,No Data
01/26/2024 11:08:12.342,1,240.019,18.8667,28.1445,21.3725,26.4045,18.8667,2.02185,10703.6,7.68789,-0.468152,-1,10233,3200,-3880,9,19.238,1023,No Data,No Data
01/26/2024 11:08:13.336,1,239.955,18.7715,28.1981,21.3794,26.4045,18.7715,2.01778,10710.6,8.84691,-0.593929,-1,10265,3200,-4009,9,19.233,1023,No Data,No Data
01/26/2024 11:08:14.428,1,240.002,18.8696,28.2551,21.3922,26.4924,18.8696,2.01732,10717.2,10.279,-0.716957,-1,10264,3200,-4025,9,19.225,1023,No Data,No Data
01/26/2024 11:08:15.422,1,239.986,19.0019,28.3049,21.4027,26.5120,19.0019,2.01701,10718.6,11.6439,-0.78142,-1,10265,3200,-3979,9,19.217,1023,No Data,No Data
01/26/2024 11:08:16.514,1,239.958,19.0707,28.3583,21.4145,26.5999,19.0707,2.01082,10726.7,13.2326,-0.863175,-1,10260,3200,-3962,9,19.210,1023,No Data,No Data
01/26/2024 11:08:17.706,1,240.02,18.9367,28.3774,21.4331,26.6488,18.9367,2.00143,10725.5,14.9355,-0.92304,-1,10254,3200,-3965,9,19.203,1023,No Data,No Data
01/26/2024 11:08:18.799,1,239.968,18.9107,28.3958,21.4402,26.6976,18.9107,1.99153,10736.1,16.1617,-0.938603,-1,10245,3200,-3867,9,19.195,1023,No Data,No Data
01/26/2024 11:08:19.792,1,239.977,18.8755,28.4477,21.4340,26.7465,18.8755,1.9883,10744.4,17.0293,-0.95044,-1,10243,3200,-3849,9,19.189,1023,No Data,No Data
01/26/2024 11:08:20.785,1,240.019,19.0115,28.4975,21.4201,26.7953,19.0115,1.98569,10739.8,18.0442,-0.96005,-1,10248,3200,-3831,9,19.181,1023,No Data,No Data
01/26/2024 11:08:21.878,1,239.969,19.0745,28.5510,21.4061,26.8442,19.0745,1.98302,10747.1,18.9583,-0.967279,-1,10268,3200,-3843,9,19.174,1023,No Data,No Data
01/26/2024 11:08:22.871,1,239.979,19.1698,28.6014,21.4010,26.8930,19.1698,1.9822,10744.3,19.3886,-0.972266,-1,10248,3200,-3823,9,19.168,1023,No Data,No Data
01/26/2024 11:08:23.864,1,240.008,19.0500,28.6495,21.4006,26.9712,19.0500,1.97806,10740.3,20.1345,-0.975731,-1,10246,3200,-3810,9,19.161,1023,No Data,No Data
01/26/2024 11:08:24.858,1,240.004,19.4808,28.6503,21.4027,27.0103,19.4808,1.98543,10744,20.5403,-0.97711,-1,10266,3200,-3840,9,19.152,1023,No Data,No Data
