Time Stamp,Inlet Number,P (mbars),T0 (degC),T1 (degC),T2 (degC),T5 (degC),Tgas(degC),CO2 (ppm),H2O (ppm),N2O (ppm),Battery Charge (V),Power Input (mV),Current (mA),SOC (%),TEC Sink Temp (degC),Wall Code,Latitude,Longitude
03/07/2024 10:56:20.333,1,139.981,42.2089,41.0197,2.85075,52.4914,42.2089,470.662,7382.6,0.318755,11896,10816,-84,100,14.6658,1023,No Data,No Data
03/07/2024 10:56:21.327,1,140.002,42.2091,41.0198,2.83789,52.4914,42.2091,470.499,7363.56,0.31841,11889,10880,-45,100,14.6679,1023,No Data,No Data
03/07/2024 10:56:22.519,1,139.989,42.2089,41.0204,2.80856,52.4914,42.2089,471.639,7352.68,0.316492,11892,11008,-32,100,14.6699,1023,No Data,No Data
03/07/2024 10:56:23.512,1,140.008,42.2092,41.0195,2.77567,52.4914,42.2092,472.105,7291.38,0.313174,11892,11008,-32,100,14.6722,1023,No Data,No Data
03/07/2024 10:56:24.505,1,139.993,42.2091,41.0202,2.80048,52.4914,42.2091,473.491,7281.13,0.310274,11902,10944,-58,100,14.6747,1023,No Data,No Data
03/07/2024 10:56:25.498,1,140.03,42.2096,41.0202,2.8379,52.4914,42.2096,472.706,7212.78,0.307649,11890,10880,-70,100,14.6785,1023,No Data,No Data
03/07/2024 10:56:26.492,1,140.003,42.2098,41.0204,2.83159,52.4914,42.2098,472.092,7179.04,0.30624,11895,10880,-29,100,14.6785,1023,No Data,No Data
03/07/2024 10:56:27.485,1,139.995,42.2096,41.02,2.83439,52.4914,42.2096,470.703,7135.88,0.305867,11902,11008,-50,100,14.6801,1023,No Data,No Data
03/07/2024 10:56:28.478,1,139.991,42.2098,41.0201,2.82505,52.4914,42.2098,469.601,7082.95,0.305771,11888,10880,-52,100,14.6823,1023,No Data,No Data
03/07/2024 10:56:29.472,1,139.988,42.21,41.0203,2.79884,52.4914,42.21,469.914,7028.12,0.306942,11894,10880,-25,100,14.6862,1023,No Data,No Data
